                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4896,                 1.7069,                 1.6987,                0.70743,                0.50082,                0.61227,                0.40828,                 1.8465,                 1.8763,                 1.7927,               0.008911,               0.008911,               0.008911
                     35,                 1.4683,                 1.6908,                 1.6883,                0.48377,                0.51632,                 0.5383,                0.35658,                 1.9326,                 2.0351,                 1.8444,               0.008878,               0.008878,               0.008878
                     36,                 1.4739,                 1.6995,                 1.6767,                0.56364,                0.52935,                0.53044,                0.32207,                 2.0391,                 2.1512,                 1.8869,               0.008845,               0.008845,               0.008845
                     37,                  1.447,                 1.6692,                   1.65,                0.50433,                0.61922,                0.60108,                0.40179,                 1.8836,                 1.8664,                 1.7534,               0.008812,               0.008812,               0.008812
                     38,                 1.4458,                 1.6507,                 1.6339,                0.52101,                0.59164,                0.58074,                 0.3896,                 1.8478,                 1.8926,                 1.7752,               0.008779,               0.008779,               0.008779
                     39,                 1.4341,                 1.6449,                 1.6427,                0.57823,                0.58026,                0.61137,                0.39942,                 1.8387,                 1.8328,                 1.7432,               0.008746,               0.008746,               0.008746
                     40,                 1.4081,                 1.6335,                 1.6266,                0.58212,                0.62535,                0.65779,                0.44026,                 1.8091,                 1.8026,                 1.7104,               0.008713,               0.008713,               0.008713
                     41,                 1.4203,                 1.6088,                 1.6399,                0.69448,                0.56688,                 0.6576,                0.42311,                 1.8108,                 1.7589,                 1.7578,                0.00868,                0.00868,                0.00868
                     42,                  1.396,                 1.5952,                 1.6192,                0.67245,                 0.6059,                0.65248,                0.44175,                 1.8482,                 1.8447,                 1.7588,               0.008647,               0.008647,               0.008647
                     43,                 1.4009,                 1.5527,                 1.6066,                0.79352,                0.51441,                0.65761,                0.44677,                 1.7655,                  1.822,                 1.7016,               0.008614,               0.008614,               0.008614
                     44,                 1.3955,                 1.5514,                 1.5962,                0.71783,                0.59437,                0.65952,                0.43463,                 1.7951,                  1.755,                 1.7347,               0.008581,               0.008581,               0.008581
                     45,                 1.3847,                 1.5475,                 1.5974,                0.68672,                0.61838,                0.68204,                0.45742,                 1.8037,                 1.6624,                 1.7163,               0.008548,               0.008548,               0.008548
                     46,                 1.3744,                 1.5131,                 1.5743,                 0.7398,                0.58542,                0.65851,                0.44801,                 1.9043,                 1.8553,                 1.7872,               0.008515,               0.008515,               0.008515
                     47,                  1.367,                   1.52,                 1.5718,                0.67977,                0.59837,                0.65733,                0.44151,                 1.8013,                 1.7201,                 1.7481,               0.008482,               0.008482,               0.008482
                     48,                 1.3645,                 1.5313,                 1.5794,                0.61577,                0.52461,                  0.596,                0.35339,                 1.9542,                 1.8875,                 1.8279,               0.008449,               0.008449,               0.008449
                     49,                 1.3367,                 1.4774,                 1.5488,                0.61931,                0.62005,                0.65376,                0.44182,                 1.7438,                 1.7287,                 1.6767,               0.008416,               0.008416,               0.008416
                     50,                 1.3527,                 1.5047,                 1.5697,                0.65279,                0.59146,                0.63802,                0.44464,                  1.766,                 1.7165,                  1.714,               0.008383,               0.008383,               0.008383
                     51,                 1.3517,                 1.4888,                 1.5573,                0.66967,                0.62759,                0.67339,                0.47364,                 1.7716,                 1.6855,                 1.7077,                0.00835,                0.00835,                0.00835
                     52,                 1.3249,                 1.4571,                 1.5452,                0.60723,                0.59243,                0.65176,                 0.4447,                 1.8052,                 1.6839,                 1.7273,               0.008317,               0.008317,               0.008317
                     53,                  1.294,                 1.4157,                 1.5172,                0.77121,                0.56786,                0.65119,                0.46494,                  1.774,                 1.6701,                 1.6795,               0.008284,               0.008284,               0.008284
                     54,                 1.3113,                 1.4269,                 1.5263,                0.64951,                0.53053,                0.63771,                0.42474,                 1.8601,                 1.7856,                 1.7534,               0.008251,               0.008251,               0.008251
                     55,                 1.2831,                 1.4053,                 1.5031,                0.73936,                0.58746,                 0.6918,                0.45961,                 1.7417,                 1.6296,                  1.679,               0.008218,               0.008218,               0.008218
